id;title;note;created_at;updated_at
1;Moroccan Dirham;capability zero tolerance Computers;2020-01-31T16:15:16;2020-01-31T07:26:43
2;paradigms Home;Investor Public-key;2020-02-01T03:24:23;2020-01-31T18:08:29
3;Way Dominican Republic;Bulgarian Lev navigate;2020-02-01T01:10:50;2020-02-01T01:04:19
4;cross-platform Point Orchestrator;Solomon Islands Licensed;2020-01-31T10:50:12;2020-02-01T03:16:00
5;Bedfordshire;Refined Rubber Gloves Algerian Dinar Clothing;2020-01-31T18:35:37;2020-01-31T11:27:21
6;turn-key;Sausages;2020-01-31T14:18:05;2020-01-31T21:20:32
7;Cambridgeshire hacking;bricks-and-clicks Concrete Global;2020-01-31T09:49:40;2020-01-31T14:11:06
8;Profound;parsing;2020-01-31T17:33:33;2020-01-31T18:29:05
9;content-based Executive;Customer Human deposit;2020-01-31T22:44:50;2020-02-01T00:11:27
10;Saint Helena Pound programming;AI optical invoice;2020-02-01T04:51:52;2020-01-31T08:25:44
