id;text;created_at;updated_at
1;solid state;2020-01-31T14:49:42;2020-01-31T16:19:47
2;Tools Unbranded;2020-01-31T14:57:36;2020-01-31T07:30:58
3;clear-thinking;2020-01-31T23:33:19;2020-01-31T17:42:52
4;Cayman Islands Dollar invoice;2020-02-01T01:30:05;2020-02-01T02:39:42
5;Computers Bedfordshire Fish;2020-01-31T22:05:19;2020-01-31T15:17:34
6;calculating withdrawal Nevada;2020-02-01T04:38:08;2020-01-31T18:40:21
7;withdrawal Ergonomic;2020-01-31T16:43:37;2020-01-31T07:31:55
8;target Human withdrawal;2020-01-31T11:48:31;2020-01-31T22:28:55
9;payment Libyan Dinar;2020-01-31T10:08:38;2020-02-01T02:11:53
10;sensor;2020-02-01T00:08:43;2020-01-31T17:09:21
