id;title;note;image;image_content_type;image_sha_1;thumbnailx_1;thumbnailx_1_content_type;thumbnailx_1_sha_1;thumbnailx_2;thumbnailx_2_content_type;thumbnailx_2_sha_1;exif;extracted_text;detected_objects;created_at;updated_at
1;mobile Fish;Home Loan Account Table Computer;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-01-31T08:32:56;2020-02-01T01:58:40
2;Chips;Money Market Account;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-01-31T22:16:52;2020-02-01T01:29:15
3;Licensed Savings Account;Cambridgeshire Mississippi;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-02-01T01:17:21;2020-01-31T20:30:37
4;Rubber Buckinghamshire Games;incentivize Tuna copy;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-01-31T16:43:28;2020-01-31T13:37:10
5;archive Georgia Aruba;software scale interactive;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-01-31T21:35:48;2020-02-01T02:18:17
6;Books;magenta monitor 1080p;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-01-31T13:33:49;2020-01-31T16:52:58
7;tangible Mississippi;Frozen bus;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-02-01T02:13:57;2020-02-01T06:19:10
8;withdrawal knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-01-31T15:52:20;2020-02-01T04:32:31
9;Squares mint green e-business;Ghana back-end National;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-01-31T23:45:33;2020-02-01T06:54:25
10;Borders;Bedfordshire Bahamian Dollar;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.png;image/png;;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-01-31T07:58:31;2020-02-01T01:08:56
